Code,Station,Line
9029302,S+U Rathaus Spandau (Berlin),U7
9029301,U Altstadt Spandau (Berlin),U7
9033101,U Zitadelle (Berlin),U7
9034102,U Haselhorst (Berlin),U7
9034101,U Paulsternstr. (Berlin),U7
9036101,U Rohrdamm (Berlin),U7
9035101,U Siemensdamm (Berlin),U7
9018102,U Halemweg (Berlin),U7
9018101,U Jakob-Kaiser-Platz (Berlin),U7
9020201,S+U Jungfernheide Bhf (Berlin),U7
9019204,U Mierendorffplatz (Berlin),U7
9022202,U Richard-Wagner-Platz (Berlin),U7
9024201,U Bismarckstr. (Berlin),U7
9024202,U Wilmersdorfer Str. (Berlin),U7
9023302,U Adenauerplatz (Berlin),U7
9041201,U Konstanzer Str. (Berlin),U7
9041101,U Fehrbelliner Platz (Berlin),U7
9041102,U Blissestr. (Berlin),U7
9044201,U Berliner Str. (Berlin),U7
9055102,U Bayerischer Platz (Berlin),U7
9054103,U Eisenacher Str. (Berlin),U7
9054102,U Kleistpark (Berlin),U7
9057103,S+U Yorckstr. (Berlin),U7
9017104,U Möckernbrücke (Berlin),U7
9017101,U Mehringdamm (Berlin),U7
9016101,U Gneisenaustr. (Berlin),U7
9016202,U Südstern (Berlin),U7
9078101,U Hermannplatz (Berlin),U7
9078102,U Rathaus Neukölln (Berlin),U7
9078103,U Karl-Marx-Str. (Berlin),U7
9078272,S+U Neukölln (Berlin) [U7],U7
9080202,U Grenzallee (Berlin),U7
9080201,U Blaschkoallee (Berlin),U7
9080401,U Parchimer Allee (Berlin),U7
9080402,U Britz-Süd (Berlin),U7
9082202,U Johannisthaler Chaussee (Berlin),U7
9082201,U Lipschitzallee (Berlin),U7
9083102,U Wutzkyallee (Berlin),U7
9083101,U Zwickauer Damm (Berlin),U7
9083201,U Rudow (Berlin),U7
9130002,S+U Pankow (Berlin),U2
9130011,U Vinetastr. (Berlin),U2
9110001,S+U Schönhauser Allee (Berlin),U2
9110006,U Eberswalder Str. (Berlin),U2
9110005,U Senefelderplatz (Berlin),U2
9100016,U Rosa-Luxemburg-Platz (Berlin),U2
9100003,S+U Alexanderplatz Bhf (Berlin),U2
9100015,U Klosterstr. (Berlin),U2
9100014,U Märkisches Museum (Berlin),U2
9100013,U Spittelmarkt (Berlin),U2
9100012,U Hausvogteiplatz (Berlin),U2
9100701,U Stadtmitte U2 (Berlin),U2
9100010,U Mohrenstr. (Berlin),U2
9100720,S+U Potsdamer Platz (Bln) [U2],U2
9005252,U Mendelssohn-Bartholdy-Park (Berlin),U2
9017103,U Gleisdreieck (Berlin),U2
9056104,U Bülowstr. (Berlin),U2
9056102,U Nollendorfplatz (Berlin),U2
9056101,U Wittenbergplatz (Berlin),U2
9023201,S+U Zoologischer Garten Bhf (Berlin),U2
9023101,U Ernst-Reuter-Platz (Berlin),U2
9022201,U Deutsche Oper (Berlin),U2
9024201,U Bismarckstr. (Berlin),U2
9022101,U Sophie-Charlotte-Platz (Berlin),U2
9026202,U Kaiserdamm (Berlin),U2
9026201,U Theodor-Heuss-Platz (Berlin),U2
9026101,U Neu-Westend (Berlin),U2
9025203,U Olympia-Stadion (Berlin),U2
9025202,U Ruhleben (Berlin),U2
9120004,S+U Warschauer Str. (Berlin),U1
9014102,U Schlesisches Tor (Berlin),U1
9014101,U Görlitzer Bahnhof (Berlin),U1
9013102,U Kottbusser Tor (Berlin),U1
9013103,U Prinzenstr. (Berlin),U1
9012103,U Hallesches Tor (Berlin),U1
9017104,U Möckernbrücke (Berlin),U1
9017103,U Gleisdreieck (Berlin),U1
9005201,U Kurfürstenstr. (Berlin),U1
9056102,U Nollendorfplatz (Berlin),U1
9056101,U Wittenbergplatz (Berlin),U1
9023203,U Kurfürstendamm (Berlin),U1
9023301,U Uhlandstr. (Berlin),U1
9056102,U Nollendorfplatz (Berlin),U3
9056101,U Wittenbergplatz (Berlin),U3
9023202,U Augsburger Str. (Berlin),U3
9042101,U Spichernstr. (Berlin),U3
9043101,U Hohenzollernplatz (Berlin),U3
9041101,U Fehrbelliner Platz (Berlin),U3
9045102,S+U Heidelberger Platz (Berlin),U3
9045101,U Rüdesheimer Platz (Berlin),U3
9051202,U Breitenbachplatz (Berlin),U3
9051302,U Podbielskiallee (Berlin),U3
