from,to,type,time,status,
9100011,9100701,2,180,,
9100701,9100011,2,180,,
9001201,9001201,2,120,,
9002201,9002201,2,120,,
9003101,9003101,2,120,,
9003104,9003104,2,120,,
9003201,9003201,2,600,,
9003254,9003254,2,120,,
9005201,9005201,2,120,,
9005252,9005252,2,120,,
9007102,9007102,2,600,,
9007103,9007103,2,120,,
9007110,9007110,2,120,,
9008102,9008102,2,120,,
9009101,9009101,2,120,,
9009102,9009102,2,120,,
9009103,9009103,2,120,,
9009104,9009104,2,120,,
9009201,9009201,2,120,,
9009202,9009202,2,120,,
9009203,9009203,2,120,,
9011101,9011101,2,120,,
9011102,9011102,2,120,,
9012102,9012102,2,120,,
9012103,9012103,2,120,,
9013101,9013101,2,120,,
9013102,9013102,2,120,,
9013103,9013103,2,120,,
9014101,9014101,2,120,,
9014102,9014102,2,120,,
9016101,9016101,2,120,,
9016201,9016201,2,120,,
9016202,9016202,2,120,,
9017101,9017101,2,120,,
9017102,9017102,2,120,,
9017103,9017103,2,120,,
9017104,9017104,2,120,,
9018101,9018101,2,120,,
9018102,9018102,2,120,,
9019204,9019204,2,120,,
9020201,9020201,2,120,,
9022101,9022101,2,120,,
9022201,9022201,2,120,,
9022202,9022202,2,120,,
9023101,9023101,2,120,,
9023201,9023201,2,600,,
9023202,9023202,2,120,,
9023203,9023203,2,120,,
9023301,9023301,2,120,,
9023302,9023302,2,120,,
9024201,9024201,2,120,,
9024202,9024202,2,120,,
9025202,9025202,2,120,,
9025203,9025203,2,120,,
9026101,9026101,2,120,,
9026201,9026201,2,120,,
9026202,9026202,2,120,,
9029301,9029301,2,120,,
9029302,9029302,2,120,,
9033101,9033101,2,120,,
9034101,9034101,2,120,,
9034102,9034102,2,120,,
9035101,9035101,2,120,,
9036101,9036101,2,120,,
9041101,9041101,2,120,,
9041102,9041102,2,120,,
9041201,9041201,2,120,,
9042101,9042101,2,120,,
9043101,9043101,2,120,,
9043201,9043201,2,120,,
9044201,9044201,2,120,,
9044202,9044202,2,120,,
9045101,9045101,2,120,,
9045102,9045102,2,120,,
9050201,9050201,2,120,,
9050282,9050282,2,120,,
9051201,9051201,2,120,,
9051202,9051202,2,120,,
9051301,9051301,2,120,,
9051302,9051302,2,120,,
9051303,9051303,2,120,,
9054101,9054101,2,120,,
9054102,9054102,2,120,,
9054103,9054103,2,120,,
9054105,9054105,2,120,,
9055101,9055101,2,120,,
9055102,9055102,2,120,,
9056101,9056101,2,120,,
9056102,9056102,2,120,,
9056104,9056104,2,120,,
9057103,9057103,2,120,,
9061101,9061101,2,120,,
9061102,9061102,2,120,,
9062203,9062203,2,120,,
9062781,9062781,2,120,,
9068101,9068101,2,120,,
9068201,9068201,2,120,,
9068202,9068202,2,120,,
9068302,9068302,2,120,,
9069271,9069271,2,120,,
9070101,9070101,2,120,,
9070301,9070301,2,120,,
9078101,9078101,2,120,,
9078102,9078102,2,120,,
9078103,9078103,2,120,,
9078272,9078272,2,120,,
9079201,9079201,2,120,,
9079202,9079202,2,120,,
9079221,9079221,2,120,,
9080201,9080201,2,120,,
9080202,9080202,2,120,,
9080401,9080401,2,120,,
9080402,9080402,2,120,,
9082201,9082201,2,120,,
9082202,9082202,2,120,,
9083101,9083101,2,120,,
9083102,9083102,2,120,,
9083201,9083201,2,120,,
9085104,9085104,2,120,,
9085202,9085202,2,120,,
9085203,9085203,2,120,,
9086101,9086101,2,120,,
9086102,9086102,2,120,,
9086160,9086160,2,120,,
9087101,9087101,2,120,,
9088201,9088201,2,120,,
9088202,9088202,2,120,,
9089301,9089301,2,120,,
9096197,9096197,2,120,,
9096410,9096410,2,120,,
9096458,9096458,2,120,,
9100001,9100001,2,600,,
9100003,9100003,2,600,,
9100004,9100004,2,120,,
9100008,9100008,2,120,,
9100009,9100009,2,120,,
9100010,9100010,2,120,,
9100011,9100011,2,120,,
9100012,9100012,2,120,,
9100013,9100013,2,120,,
9100014,9100014,2,120,,
9100015,9100015,2,120,,
9100016,9100016,2,120,,
9100017,9100017,2,120,,
9100019,9100019,2,120,,
9100023,9100023,2,120,,
9100025,9100025,2,120,,
9100027,9100027,2,120,,
9100051,9100051,2,120,,
9100501,9100501,2,120,,
9100701,9100701,2,120,,
9100720,9100720,2,120,,
9110001,9110001,2,120,,
9110005,9110005,2,120,,
9110006,9110006,2,120,,
9120001,9120001,2,120,,
9120004,9120004,2,120,,
9120006,9120006,2,120,,
9120008,9120008,2,120,,
9120009,9120009,2,120,,
9120025,9120025,2,120,,
9130002,9130002,2,120,,
9130011,9130011,2,120,,
9160005,9160005,2,120,,
9160701,9160701,2,120,,
9161002,9161002,2,120,,
9161512,9161512,2,120,,
9171005,9171005,2,120,,
9171006,9171006,2,120,,
9175001,9175001,2,120,,
9175004,9175004,2,120,,
9175005,9175005,2,120,,
9175006,9175006,2,120,,
9175007,9175007,2,120,,
9175010,9175010,2,120,,
9175015,9175015,2,120,,
